"year","fips_county","county_name","state_code","issuer_name"
2017,"25013","Hampden County","MA","Health New England"
2017,"25013","Hampden County","MA","Neighborhood Health Plan"
2017,"25013","Hampden County","MA","Tufts Health Plan"
2017,"25013","Hampden County","MA","Ambetter from CeltiCare Health"
2017,"25013","Hampden County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25013","Hampden County","MA","Harvard Pilgrim Health Care"
2017,"25015","Hampshire County","MA","Boston Medical Center HealthNet Plan"
2017,"25015","Hampshire County","MA","Fallon Health"
2017,"25015","Hampshire County","MA","Health New England"
2017,"25015","Hampshire County","MA","Tufts Health Plan"
2017,"25015","Hampshire County","MA","Ambetter from CeltiCare Health"
2017,"25015","Hampshire County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25015","Hampshire County","MA","Harvard Pilgrim Health Care"
2017,"25017","Middlesex County","MA","Boston Medical Center HealthNet Plan"
2017,"25017","Middlesex County","MA","Fallon Health"
2017,"25017","Middlesex County","MA","Minuteman Health"
2017,"25017","Middlesex County","MA","Neighborhood Health Plan"
2017,"25017","Middlesex County","MA","Tufts Health Plan"
2017,"25017","Middlesex County","MA","Ambetter from CeltiCare Health"
2017,"25017","Middlesex County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25017","Middlesex County","MA","Harvard Pilgrim Health Care"
2017,"25019","Nantucket County","MA","Boston Medical Center HealthNet Plan"
2017,"25019","Nantucket County","MA","Neighborhood Health Plan"
2017,"25019","Nantucket County","MA","Tufts Health Plan"
2017,"25019","Nantucket County","MA","Ambetter from CeltiCare Health"
2017,"25019","Nantucket County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25019","Nantucket County","MA","Harvard Pilgrim Health Care"
2017,"25021","Norfolk County","MA","Boston Medical Center HealthNet Plan"
2017,"25021","Norfolk County","MA","Fallon Health"
2017,"25021","Norfolk County","MA","Minuteman Health"
2017,"25021","Norfolk County","MA","Neighborhood Health Plan"
2017,"25021","Norfolk County","MA","Tufts Health Plan"
2017,"25021","Norfolk County","MA","Ambetter from CeltiCare Health"
2017,"25021","Norfolk County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25021","Norfolk County","MA","Harvard Pilgrim Health Care"
2017,"25023","Plymouth County","MA","Boston Medical Center HealthNet Plan"
2017,"25023","Plymouth County","MA","Fallon Health"
2017,"25023","Plymouth County","MA","Minuteman Health"
2017,"25023","Plymouth County","MA","Neighborhood Health Plan"
2017,"25023","Plymouth County","MA","Tufts Health Plan"
2017,"25023","Plymouth County","MA","Ambetter from CeltiCare Health"
2017,"25023","Plymouth County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25023","Plymouth County","MA","Harvard Pilgrim Health Care"
2017,"25025","Suffolk County","MA","Boston Medical Center HealthNet Plan"
2017,"25025","Suffolk County","MA","Fallon Health"
2017,"25025","Suffolk County","MA","Minuteman Health"
2017,"25025","Suffolk County","MA","Neighborhood Health Plan"
2017,"25025","Suffolk County","MA","Tufts Health Plan"
2017,"25025","Suffolk County","MA","Ambetter from CeltiCare Health"
2017,"25025","Suffolk County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25025","Suffolk County","MA","Harvard Pilgrim Health Care"
2017,"25027","Worcester County","MA","Boston Medical Center HealthNet Plan"
2017,"25027","Worcester County","MA","Fallon Health"
2017,"25027","Worcester County","MA","Health New England"
2017,"25027","Worcester County","MA","Minuteman Health"
2017,"25027","Worcester County","MA","Neighborhood Health Plan"
2017,"25027","Worcester County","MA","Tufts Health Plan"
2017,"25027","Worcester County","MA","Ambetter from CeltiCare Health"
2017,"25027","Worcester County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25027","Worcester County","MA","Harvard Pilgrim Health Care"
