"year","state_code","issuer_id","issuer_name","market","source"
2015,"AR",75293,"USAble Mutual Insurance Company","Individual","URR"
2016,"AR",75293,"USAble Mutual Insurance Company","Small Group","URR"
2016,"AR",75293,"Arkansas Blue Cross and Blue Shield, Inc.","Small Group","URR"
2016,"AR",75293,"USAble Mutual Insurance Company","Individual","URR"
2017,"AR",75293,"USAble Mutual Insurance Company","Individual","URR"
2017,"AR",75293,"Arkansas Blue Cross and Blue Shield, Inc.","Small Group","URR"
2014,"AR",81392,"UnitedHealthcare Insurance Company","Small Group","URR"
2015,"AR",81392,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"AR",81392,"UnitedHealthcare Insurance Company","Small Group","URR"
2017,"AR",81392,"UnitedHealthcare Insurance Company","Small Group","URR"
2014,"AR",89365,"Federated Mutual Insurance Company","Small Group","URR"
2015,"AR",89365,"Federated Mutual Insurance Company","Small Group","URR"
2016,"AR",89365,"Federated Mutual Insurance Company","Small Group","URR"
2017,"AR",89365,"Federated Mutual Insurance Company","Small Group","URR"
2014,"AR",99685,"Humana Insurance Company","Individual","URR"
2014,"AR",99685,"Humana Insurance Company","Small Group","URR"
2016,"AR",99685,"Humana Insurance Company","Individual","URR"
2014,"AZ",23029,"Madison National Life Insurance Company, Inc.","Small Group","URR"
2014,"AZ",23307,"Humana Health Plan, Inc.","Individual","URR"
2014,"AZ",23307,"Humana Health Plan","Small Group","URR"
2015,"AZ",23307,"Humana Health Plan, Inc.","Small Group","URR"
2015,"AZ",23307,"Humana Health Plan, Inc.","Individual","URR"
2016,"AZ",23307,"Humana Health Plan, Inc.","Individual","URR"
2016,"AZ",23307,"Humana Health Plan, Inc.","Small Group","URR"
2017,"AZ",23307,"Humana Health Plan, Inc.","Small Group","URR"
2016,"AZ",29001,"National Health Insurance Company","Small Group","URR"
2017,"AZ",29001,"National Health Insurance Company","Small Group","URR"
2014,"AZ",40702,"UnitedHealthcare of Arizona, Inc.","Small Group","URR"
2015,"AZ",40702,"UnitedHealthcare of Arizona, Inc.","Small Group","URR"
2016,"AZ",40702,"UnitedHealthcare of Arizona, Inc.","Small Group","URR"
2017,"AZ",40702,"UnitedHealthcare of Arizona","Small Group","URR"
2014,"AZ",41291,"National Foundation Life Insurance Company","Individual","URR"
2015,"AZ",41291,"National Foundation Life Insurance Company","Individual","URR"
2016,"AZ",41291,"National Foundation Life Insurance Company","Individual","URR"
2017,"AZ",41291,"National Foundation Life Insurance Company","Individual","URR"
2014,"AZ",51485,"Health Net Life Insurance Company","Small Group","URR"
2014,"AZ",51485,"Health Net Life Insurance Company","Individual","URR"
2015,"AZ",51485,"Health Net Life Insurance Company","Small Group","URR"
2015,"AZ",51485,"Health Net Life Insurance Company","Individual","URR"
2016,"AZ",51485,"Health Net Life Insurance Company","Individual","URR"
2016,"AZ",51485,"Health Net Life Insurance Company","Small Group","URR"
2017,"AZ",51485,"Health Net Life Insurance Co.","Small Group","URR"
2014,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Small Group","URR"
2014,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Individual","URR"
2015,"AZ",53901,"Blue Cross Blue Shield of Arizona","Individual","URR"
2015,"AZ",53901,"BlueCross BlueShield of Arizona","Small Group","URR"
2016,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Small Group","URR"
2016,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Individual","URR"
2017,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Individual","URR"
2017,"AZ",53901,"Blue Cross Blue Shield of Arizona, Inc.","Small Group","URR"
2014,"AZ",59096,"Standard Security Life Insurance Company of New York","Small Group","URR"
2014,"AZ",60761,"Compass Cooperative Health Plan, Inc.","Small Group","URR"
2014,"AZ",60761,"Compass Cooperative Health Plan, Inc.","Individual","URR"
2014,"AZ",60761,"Compass Cooperative Health Plan, Inc. dba Meritus Health Partners","Small Group","URR"
2015,"AZ",60761,"Compass Cooperative Health Plan, Inc. dba Meritus Health Partners","Individual","URR"
2015,"AZ",60761,"Compass Cooperative Health Plan, Inc. dba Meritus Health Partners","Small Group","URR"
2016,"AZ",60761,"Compass Cooperative Health Plan, Inc. dba Meritus Health Partners","Small Group","URR"
2016,"AZ",60761,"Compass Cooperative Health Plan, Inc. dba Meritus Health Partners","Individual","URR"
2014,"AZ",65441,"Abrazo Advantage Health Plan","Individual","URR"
2014,"AZ",65441,"Abrazo Advantage Health Plan","Small Group","URR"
2015,"AZ",65441,"Phoenix Health Plans, Inc.","Individual","URR"
2016,"AZ",65441,"Phoenix Health Plans, Inc.","Individual","URR"
2017,"AZ",65441,"Phoenix Health Plans, Inc.","Individual","URR"
2014,"AZ",66105,"Humana Insurance Company","Individual","URR"
2014,"AZ",66105,"Humana Insurance Company","Small Group","URR"
2015,"AZ",66105,"Humana Insurance Company","Small Group","URR"
2015,"AZ",66105,"Humana Insurance Company","Individual","URR"
2016,"AZ",66105,"Humana Insurance Company","Small Group","URR"
2016,"AZ",66105,"Humana Insurance Company","Individual","URR"
2017,"AZ",66105,"Humana Insurance Company","Small Group","URR"
2014,"AZ",69636,"Celtic Insurance Company","Individual","URR"
2014,"AZ",70239,"Health Choice Insurance Co","Individual","URR"
2015,"AZ",70239,"Health Choice Insurance Co","Individual","URR"
2016,"AZ",70239,"Health Choice Insurance Co","Individual","URR"
2014,"AZ",70594,"Enterprise Life Insurance Company","Individual","URR"
2015,"AZ",70594,"Enterprise Life Insurance Company","Individual","URR"
2016,"AZ",70594,"Enterprise Life Insurance Company","Individual","URR"
2017,"AZ",70594,"Enterprise Life Insurance Company","Individual","URR"
2014,"AZ",70904,"WMI Mutual Insurance Company","Small Group","URR"
2015,"AZ",70904,"WMI Mutual Insurance Company","Small Group","URR"
2016,"AZ",70904,"WMI Mutual Insurance Company","Small Group","URR"
2017,"AZ",70904,"WMI Mutual Insurance Company","Small Group","URR"
2014,"AZ",72269,"Golden Rule Insurance Company","Individual","URR"
2014,"AZ",73893,"John Alden Life Insurance Company","Small Group","URR"
2015,"AZ",73893,"John Alden Life Insurance Company","Small Group","URR"
2014,"AZ",75849,"Freedom Life Insurance Company of America","Individual","URR"
2015,"AZ",75849,"Freedom Life Insurance Company of America","Individual","URR"
2016,"AZ",75849,"Freedom Life Insurance Company of America","Individual","URR"
2017,"AZ",75849,"Freedom Life Insurance Company of America","Individual","URR"
2015,"AZ",78611,"Aetna Health Inc.","Small Group","URR"
2016,"AZ",78611,"Aetna Health Inc. (a PA corp.)","Small Group","URR"
2016,"AZ",78611,"Aetna Health Inc.","Individual","URR"
2017,"AZ",78611,"Aetna Health Inc. (a PA corp.)","Small Group","URR"
2017,"AZ",78611,"Aetna Health Inc. (a PA corp.)","Individual","URR"
2014,"AZ",80863,"Time Insurance Company","Small Group","URR"
2015,"AZ",80863,"Time Insurance Company","Small Group","URR"
2015,"AZ",80863,"Time Insurance Company","Individual","URR"
2014,"AZ",82011,"UnitedHealthcare Insurance Company","Small Group","URR"
2015,"AZ",82011,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"AZ",82011,"UnitedHealthcare Insurance Company","Small Group","URR"
2017,"AZ",82011,"UnitedHealthcare Insurance Company","Small Group","URR"
2014,"AZ",84251,"Aetna Life Insurance Company","Individual","URR"
2015,"AZ",84251,"Aetna Life Insurance Company","Individual","URR"
2015,"AZ",84251,"Aetna Life Insurance Company","Small Group","URR"
2016,"AZ",84251,"Aetna Life Insurance Company","Small Group","URR"
2017,"AZ",84251,"Aetna Life Insurance Company","Small Group","URR"
2014,"AZ",85253,"Sterling Life Insurance Company","Small Group","URR"
2015,"AZ",85253,"Sterling Life Insurance Company","Small Group","URR"
2014,"AZ",86830,"Cigna Health and Life Insurance Company","Individual","URR"
2014,"AZ",86830,"Cigna Health and Life Insurance Company","Small Group","URR"
2015,"AZ",86830,"Cigna Health and Life Insurance Company","Individual","URR"
2016,"AZ",86830,"Cigna Health and Life Insurance Company","Individual","URR"
2016,"AZ",86830,"Cigna Health and Life Insurance Company","Small Group","URR"
2017,"AZ",86830,"Cigna Health and Life Insurance Company","Individual","URR"
2017,"AZ",86830,"Cigna Health and Life Insurance Company","Small Group","URR"
2014,"AZ",88925,"University Healthcare, Inc.","Individual","URR"
2014,"AZ",88925,"University Healthcare, Inc.","Small Group","URR"
2015,"AZ",88925,"University Healthcare, Inc.","Individual","URR"
2014,"AZ",90169,"UnitedHealthcare Life Insurance Company","Individual","URR"
2015,"AZ",90169,"UnitedHealthcare Life Insurance Company","Individual","URR"
2016,"AZ",90169,"UnitedHealthcare Life Insurance Company","Individual","URR"
2014,"AZ",91450,"Health Net of Arizona","Small Group","URR"
2014,"AZ",91450,"Health Net of Arizona","Individual","URR"
2015,"AZ",91450,"Health Net of Arizona","Small Group","URR"
2015,"AZ",91450,"Health Net of Arizona","Individual","URR"
2016,"AZ",91450,"Health Net of Arizona","Individual","URR"
2016,"AZ",91450,"Health Net of Arizona","Small Group","URR"
2017,"AZ",91450,"Health Net of Arizona","Individual","URR"
2017,"AZ",91450,"Health Net of Arizona","Small Group","URR"
2014,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc.","Small Group","URR"
2014,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc.","Individual","URR"
2014,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc. dba Meritus Mutual Health Partners","Small Group","URR"
2015,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc. dba Meritus Mutual Health Partners","Individual","URR"
2015,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc. dba Meritus Mutual Health Partners","Small Group","URR"
2016,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc. dba Meritus Mutual Health Partners","Small Group","URR"
2016,"AZ",92045,"Compass Cooperative Mutual Health Network, Inc. dba Meritus Mutual Health Partners","Individual","URR"
2015,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Individual","URR"
2015,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Small Group","URR"
2016,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Small Group","URR"
2016,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Individual","URR"
2017,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Individual","URR"
2017,"AZ",97667,"Cigna HealthCare of Arizona, Inc.","Small Group","URR"
2014,"AZ",98971,"All Savers Insurance Company","Small Group","URR"
2015,"AZ",98971,"All Savers Insurance Company","Small Group","URR"
2015,"AZ",98971,"All Savers Insurance Company","Individual","URR"
2016,"AZ",98971,"All Savers Insurance Company","Small Group","URR"
2016,"AZ",98971,"All Savers Insurance Company","Individual","URR"
2017,"AZ",98971,"All Savers Insurance Company","Small Group","URR"
2016,"CA",10544,"Oscar Health Plan of California","Individual","SBM PUF"
2016,"CA",10544,"Oscar Health Plan of California","Individual","URR"
2017,"CA",10544,"Oscar Health Plan of California","Individual","URR"
2014,"CA",13085,"SeeChange","Small Group","URR"
2014,"CA",13085,"SeeChange Health Insurance Company","Small Group","URR"
2015,"CA",18126,"Molina Healthcare of California","Individual","URR"
2016,"CA",18126,"Molina Healthcare of California","Individual","SBM PUF"
2016,"CA",18126,"Molina Healthcare of California, Inc.","Individual","URR"
2017,"CA",18126,"Molina Healthcare of California, Inc.","Individual","URR"
2015,"CA",18971,"Medi-Excel","Small Group","URR"
2016,"CA",18971,"Medi-Excel","Small Group","URR"
2017,"CA",18971,"Medi-Excel, SA de CV","Small Group","URR"
2015,"CA",20523,"Aetna Life Insurance Company","Small Group","URR"
2016,"CA",20523,"Aetna Health of California Inc.","Small Group","URR"
2016,"CA",20523,"Aetna Health of California, Inc.","Small Group","URR"
2017,"CA",20523,"Aetna Health of California, Inc.","Small Group","URR"
2016,"CA",23633,"Celtic Insurance Company","Individual","URR"
2015,"CA",27330,"Kaiser Permanente Insurance Company","Small Group","URR"
2016,"CA",27330,"Kaiser Permanente Insurance Company","Small Group","URR"
2017,"CA",27330,"Kaiser Permanente Insurance Company","Small Group","URR"
2014,"CA",27603,"Anthem Blue Cross (DMHC)","Individual","URR"
2014,"CA",27603,"Anthem Blue Cross (licensed by DMHC)","Small Group","URR"
2015,"CA",27603,"Anthem Blue Cross (licensed by DMHC)","Small Group","URR"
2015,"CA",27603,"Anthem Blue Cross (DMHC)","Individual","URR"
2016,"CA",27603,"Blue Cross of California(Anthem BC)","Individual","SBM PUF"
2016,"CA",27603,"Anthem Blue Cross (licensed by DMHC)","Small Group","URR"
2016,"CA",27603,"Anthem Blue Cross (DMHC)","Individual","URR"
2017,"CA",27603,"Anthem Blue Cross (DMHC)","Small Group","URR"
2017,"CA",27603,"Anthem Blue Cross (DMHC)","Individual","URR"
2016,"CA",37873,"UnitedHealthcare Benefits Plan of California","Individual","SBM PUF"
2016,"CA",37873,"UnitedHealthcare Benefits Plan of California","Individual","URR"
2014,"CA",40025,"Cigna Health and Life Insurance Company","Individual","URR"
2015,"CA",40025,"Cigna Health and Life Insurance Company","Individual","URR"
2016,"CA",40025,"Cigna Health and Life Insurance Company","Individual","URR"
2017,"CA",40025,"Cigna Health and Life Insurance Company","Individual","URR"
2014,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Individual","URR"
2014,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Small Group","URR"
2015,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Small Group","URR"
2015,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Individual","URR"
2016,"CA",40513,"Kaiser Foundation Health Plan  Inc.","Individual","SBM PUF"
2016,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Small Group","URR"
2016,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Individual","URR"
2017,"CA",40513,"Kaiser Foundation Health Plas, Inc.","Small Group","URR"
2017,"CA",40513,"Kaiser Foundation Health Plan, Inc.","Individual","URR"
2014,"CA",40733,"Aetna Life Insurance Company","Small Group","URR"
2015,"CA",40733,"Aetna Life Insurance Company","Small Group","URR"
2016,"CA",40733,"Aetna Life Insurance Company","Small Group","URR"
2017,"CA",40733,"Aetna Life Insurance Company","Small Group","URR"
2015,"CA",47579,"Chinese Community Health Plan","Small Group","URR"
2015,"CA",47579,"Chinese Community Health Plan","Individual","URR"
2016,"CA",47579,"Chinese Community Health Plan","Individual","SBM PUF"
2016,"CA",47579,"Chinese Community Health Plan","Individual","URR"
2016,"CA",47579,"Chinese Community Health Plan","Small Group","URR"
2017,"CA",47579,"Chinese Community Health Plan","Individual","URR"
2017,"CA",47579,"Chinese Community Health Plan","Small Group","URR"
2014,"CA",48962,"Anthem Blue Cross Life and Health Insurance Company (CDI)","Individual","URR"
2015,"CA",48962,"Anthem Blue Cross Life and Health Insurance Company (CDI)","Individual","URR"
2014,"CA",49116,"UHC of California","Small Group","URR"
2015,"CA",49116,"UHC of California","Small Group","URR"
2016,"CA",49116,"UHC of California","Small Group","URR"
2017,"CA",49116,"UHC of California","Small Group","URR"
2015,"CA",64198,"Time Insurance Company","Individual","URR"
2015,"CA",64210,"Sutter Health Plan","Small Group","URR"
2016,"CA",64210,"Sutter Health Plan","Small Group","URR"
2016,"CA",64210,"Sutter Health Plus","Small Group","URR"
2016,"CA",64210,"Sutter Health Plan","Individual","URR"
2017,"CA",64210,"Sutter Health Plus","Small Group","URR"
2017,"CA",64210,"Sutter Health Plus","Individual","URR"
2016,"CA",64618,"National Health Insurance Co.","Small Group","URR"
2017,"CA",64618,"National Health Insurance Co.","Small Group","URR"
2014,"CA",67138,"Health Net, Inc.","Individual","URR"
2014,"CA",67138,"Health Net of California","Small Group","URR"
2015,"CA",67138,"Health Net of California","Small Group","URR"
2015,"CA",67138,"Health Net of California","Individual","URR"
2016,"CA",67138,"Health Net of California  Inc.","Individual","SBM PUF"
2016,"CA",67138,"Health Net of California","Small Group","URR"
2016,"CA",67138,"Health Net of California","Individual","URR"
2017,"CA",67138,"Health Net of California","Individual","URR"
2017,"CA",67138,"Health Net of California","Small Group","URR"
2014,"CA",68744,"Humana Insurance Company","Small Group","URR"
2015,"CA",68744,"Humana Insurance Company","Small Group","URR"
2015,"CA",70285,"California Physicians' Services dba Blue Shield of California","Small Group","URR"
2015,"CA",70285,"California Physician's Service, dba Blue Shield of California","Individual","URR"
2016,"CA",70285,"California Physicians’ Service  dba Blue Shield of California","Individual","SBM PUF"
2016,"CA",70285,"California Physician's Service, dba Blue Shield of California","Individual","URR"
2016,"CA",70285,"California Physicians' Services dba Blue Shield of California","Small Group","URR"
2017,"CA",70285,"California Physicians' Services dba Blue Shield of California","Small Group","URR"
2017,"CA",70285,"California Physician's Servce, dba Blue Shield of California","Individual","URR"
2016,"CA",71408,"Moda Health Plan, Inc","Individual","URR"
2015,"CA",84014,"County of Santa Clara dba Valley Health Plan","Individual","URR"
2016,"CA",84014,"County of Santa Clara dba Valley Health Plan","Individual","SBM PUF"
2016,"CA",84014,"County of Santa Clara dba Valley Health Plan","Individual","URR"
2017,"CA",84014,"County of Santa Clara dba Valley Health Plan","Individual","URR"
2016,"CA",92499,"Sharp Health Plan","Individual","SBM PUF"
2015,"CA",92815,"Local Initiative Health Authority for Los Angeles County, dba L.A. Care Health Plan","Individual","URR"
2016,"CA",92815,"Local Initiative Health Authority Los Angeles County","Individual","SBM PUF"
2016,"CA",92815,"Local Initiative Health Authority for Los Angeles County, dba L.A. Care Health Plan","Individual","URR"
2017,"CA",92815,"Local Initiative Health Authority for Los Angeles County, dba L.A. Care Health Plan","Individual","URR"
2015,"CA",93689,"Western Health Advantage","Small Group","URR"
2015,"CA",93689,"Western Health Advantage","Individual","URR"
2016,"CA",93689,"Western Health Advantage","Individual","SBM PUF"
2016,"CA",93689,"Western Health Advantage","Individual","URR"
2016,"CA",93689,"Western Health Advantage","Small Group","URR"
2017,"CA",93689,"Western Health Advantage","Individual","URR"
2017,"CA",93689,"Western Health Advantage","Small Group","URR"
2014,"CA",94625,"Connecticut General Life Insurance Company","Individual","URR"
2014,"CA",95677,"UnitedHealthcare Insurance Company","Small Group","URR"
2015,"CA",95677,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"CA",95677,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"CA",95677,"UHIC","Small Group","URR"
2017,"CA",95677,"UHIC","Small Group","URR"
2014,"CA",99110,"Health Net, Inc.","Individual","URR"
2014,"CA",99110,"Health Net, Inc.","Small Group","URR"
2014,"CA",99110,"Health Net Life Insurance Company","Small Group","URR"
2015,"CA",99110,"Health Net Life Insurance Company","Individual","URR"
2015,"CA",99110,"Health Net Life Insurance Company","Small Group","URR"
2015,"CA",99110,"Health Net Life Insurance","Small Group","URR"
2016,"CA",99110,"Health Net Life Insurance Company","Individual","SBM PUF"
2016,"CA",99110,"Health Net Life Insurance","Small Group","URR"
