"year","fips_county","county_name","state_code","issuer_name","plans","issuer_id"
2015,"09007","Middlesex County","CT","Anthem Health Plans, Inc.",,86545
2015,"09007","Middlesex County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09007","Middlesex County","CT","HealthyCT, Inc.",,91069
2015,"09007","Middlesex County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09007","Middlesex County","CT","Anthem Health Plans, Inc.",,86545
2016,"09007","Middlesex County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09007","Middlesex County","CT","HealthyCT, Inc.",,91069
2016,"09007","Middlesex County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09007","Middlesex County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09007","Middlesex County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09009","New Haven County","CT","Anthem Health Plans, Inc.",,86545
2014,"09009","New Haven County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09009","New Haven County","CT","HealthyCT, Inc.",,91069
2015,"09009","New Haven County","CT","Anthem Health Plans, Inc.",,86545
2015,"09009","New Haven County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09009","New Haven County","CT","HealthyCT, Inc.",,91069
2015,"09009","New Haven County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09009","New Haven County","CT","Anthem Health Plans, Inc.",,86545
2016,"09009","New Haven County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09009","New Haven County","CT","HealthyCT, Inc.",,91069
2016,"09009","New Haven County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09009","New Haven County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09009","New Haven County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09011","New London County","CT","Anthem Health Plans, Inc.",,86545
2014,"09011","New London County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09011","New London County","CT","HealthyCT, Inc.",,91069
2015,"09011","New London County","CT","Anthem Health Plans, Inc.",,86545
2015,"09011","New London County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09011","New London County","CT","HealthyCT, Inc.",,91069
2015,"09011","New London County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09011","New London County","CT","Anthem Health Plans, Inc.",,86545
2016,"09011","New London County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09011","New London County","CT","HealthyCT, Inc.",,91069
2016,"09011","New London County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09011","New London County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09011","New London County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09013","Tolland County","CT","Anthem Health Plans, Inc.",,86545
2014,"09013","Tolland County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09013","Tolland County","CT","HealthyCT, Inc.",,91069
2015,"09013","Tolland County","CT","Anthem Health Plans, Inc.",,86545
2015,"09013","Tolland County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09013","Tolland County","CT","HealthyCT, Inc.",,91069
2015,"09013","Tolland County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09013","Tolland County","CT","Anthem Health Plans, Inc.",,86545
2016,"09013","Tolland County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09013","Tolland County","CT","HealthyCT, Inc.",,91069
2016,"09013","Tolland County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09013","Tolland County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09013","Tolland County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09015","Windham County","CT","Anthem Health Plans, Inc.",,86545
2014,"09015","Windham County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09015","Windham County","CT","HealthyCT, Inc.",,91069
2015,"09015","Windham County","CT","Anthem Health Plans, Inc.",,86545
2015,"09015","Windham County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09015","Windham County","CT","HealthyCT, Inc.",,91069
2015,"09015","Windham County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09015","Windham County","CT","Anthem Health Plans, Inc.",,86545
2016,"09015","Windham County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09015","Windham County","CT","HealthyCT, Inc.",,91069
2016,"09015","Windham County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09015","Windham County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09015","Windham County","CT","ConnectiCare Benefits, Inc.",7,76962
