"year","fips_county","county_name","state_code","rating_area","issuer_name","plans"
2017,"24021","Frederick County","MD",4,"Kaiser Permanente",11
2017,"24023","Garrett County","MD",4,"CareFirst BlueChoice",6
2017,"24023","Garrett County","MD",4,"CareFirst BlueCross BlueShield",3
2017,"24023","Garrett County","MD",4,"Cigna Healthcare",3
2017,"24025","Harford County","MD",1,"CareFirst BlueChoice",6
2017,"24025","Harford County","MD",1,"CareFirst BlueCross BlueShield",3
2017,"24025","Harford County","MD",1,"Cigna Healthcare",3
2017,"24025","Harford County","MD",1,"Kaiser Permanente",11
2017,"24027","Howard County","MD",1,"CareFirst BlueChoice",6
2017,"24027","Howard County","MD",1,"CareFirst BlueCross BlueShield",3
2017,"24027","Howard County","MD",1,"Cigna Healthcare",3
2017,"24027","Howard County","MD",1,"Kaiser Permanente",11
2017,"24029","Kent County","MD",2,"CareFirst BlueChoice",6
2017,"24029","Kent County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24029","Kent County","MD",2,"Cigna Healthcare",3
2017,"24031","Montgomery County","MD",3,"CareFirst BlueChoice",6
2017,"24031","Montgomery County","MD",3,"CareFirst BlueCross BlueShield",3
2017,"24031","Montgomery County","MD",3,"Cigna Healthcare",3
2017,"24031","Montgomery County","MD",3,"Kaiser Permanente",11
2017,"24033","Prince George's County","MD",3,"CareFirst BlueChoice",6
2017,"24033","Prince George's County","MD",3,"CareFirst BlueCross BlueShield",3
2017,"24033","Prince George's County","MD",3,"Cigna Healthcare",3
2017,"24033","Prince George's County","MD",3,"Kaiser Permanente",11
2017,"24035","Queen Anne's County","MD",2,"CareFirst BlueChoice",6
2017,"24035","Queen Anne's County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24035","Queen Anne's County","MD",2,"Cigna Healthcare",3
2017,"24037","St. Mary's County","MD",2,"CareFirst BlueChoice",6
2017,"24037","St. Mary's County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24037","St. Mary's County","MD",2,"Cigna Healthcare",3
2017,"24039","Somerset County","MD",2,"CareFirst BlueChoice",6
2017,"24039","Somerset County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24039","Somerset County","MD",2,"Cigna Healthcare",3
2017,"24041","Talbot County","MD",2,"CareFirst BlueChoice",6
2017,"24041","Talbot County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24041","Talbot County","MD",2,"Cigna Healthcare",3
2017,"24043","Washington County","MD",4,"CareFirst BlueChoice",6
2017,"24043","Washington County","MD",4,"CareFirst BlueCross BlueShield",3
2017,"24043","Washington County","MD",4,"Cigna Healthcare",3
2017,"24045","Wicomico County","MD",2,"CareFirst BlueChoice",6
2017,"24045","Wicomico County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24045","Wicomico County","MD",2,"Cigna Healthcare",3
2017,"24047","Worcester County","MD",2,"CareFirst BlueChoice",6
2017,"24047","Worcester County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24047","Worcester County","MD",2,"Cigna Healthcare",3
2017,"24510","Baltimore City","MD",1,"CareFirst BlueChoice",6
2017,"24510","Baltimore City","MD",1,"CareFirst BlueCross BlueShield",3
2017,"24510","Baltimore City","MD",1,"Cigna Healthcare",3
2017,"24510","Baltimore City","MD",1,"Kaiser Permanente",11
