"year","fips_county","county_name","state_code","issuer_name","issuer_id"
2016,"24027","Howard County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24027","Howard County","MD","CareFirst of Maryland  Inc.",45532
2016,"24027","Howard County","MD","Cigna Health and Life Insurance Company",32812
2016,"24027","Howard County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24027","Howard County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24027","Howard County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24029","Kent County","MD","All Savers Insurance Company",36677
2016,"24029","Kent County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24029","Kent County","MD","CareFirst of Maryland  Inc.",45532
2016,"24029","Kent County","MD","Cigna Health and Life Insurance Company",32812
2016,"24029","Kent County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24031","Montgomery County","MD","All Savers Insurance Company",36677
2016,"24031","Montgomery County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24031","Montgomery County","MD","Cigna Health and Life Insurance Company",32812
2016,"24031","Montgomery County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24031","Montgomery County","MD","Group Hospitalization and Medical Services  Inc.",94084
2016,"24031","Montgomery County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24031","Montgomery County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24033","Prince George's County","MD","All Savers Insurance Company",36677
2016,"24033","Prince George's County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24033","Prince George's County","MD","Cigna Health and Life Insurance Company",32812
2016,"24033","Prince George's County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24033","Prince George's County","MD","Group Hospitalization and Medical Services  Inc.",94084
2016,"24033","Prince George's County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24033","Prince George's County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24035","Queen Anne's County","MD","All Savers Insurance Company",36677
2016,"24035","Queen Anne's County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24035","Queen Anne's County","MD","CareFirst of Maryland  Inc.",45532
2016,"24035","Queen Anne's County","MD","Cigna Health and Life Insurance Company",32812
2016,"24035","Queen Anne's County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24037","St. Mary's County","MD","All Savers Insurance Company",36677
2016,"24037","St. Mary's County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24037","St. Mary's County","MD","CareFirst of Maryland  Inc.",45532
2016,"24037","St. Mary's County","MD","Cigna Health and Life Insurance Company",32812
2016,"24037","St. Mary's County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24037","St. Mary's County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24039","Somerset County","MD","All Savers Insurance Company",36677
2016,"24039","Somerset County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24039","Somerset County","MD","CareFirst of Maryland  Inc.",45532
2016,"24039","Somerset County","MD","Cigna Health and Life Insurance Company",32812
2016,"24039","Somerset County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24041","Talbot County","MD","All Savers Insurance Company",36677
2016,"24041","Talbot County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24041","Talbot County","MD","CareFirst of Maryland  Inc.",45532
2016,"24041","Talbot County","MD","Cigna Health and Life Insurance Company",32812
2016,"24041","Talbot County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24043","Washington County","MD","All Savers Insurance Company",36677
2016,"24043","Washington County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24043","Washington County","MD","CareFirst of Maryland  Inc.",45532
2016,"24043","Washington County","MD","Cigna Health and Life Insurance Company",32812
2016,"24043","Washington County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24043","Washington County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24045","Wicomico County","MD","All Savers Insurance Company",36677
2016,"24045","Wicomico County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24045","Wicomico County","MD","CareFirst of Maryland  Inc.",45532
2016,"24045","Wicomico County","MD","Cigna Health and Life Insurance Company",32812
2016,"24045","Wicomico County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24045","Wicomico County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24047","Worcester County","MD","All Savers Insurance Company",36677
2016,"24047","Worcester County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24047","Worcester County","MD","CareFirst of Maryland  Inc.",45532
2016,"24047","Worcester County","MD","Cigna Health and Life Insurance Company",32812
2016,"24047","Worcester County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24510","Baltimore city","MD","All Savers Insurance Company",36677
2016,"24510","Baltimore city","MD","CareFirst BlueChoice  Inc.",28137
2016,"24510","Baltimore city","MD","CareFirst of Maryland  Inc.",45532
2016,"24510","Baltimore city","MD","Cigna Health and Life Insurance Company",32812
2016,"24510","Baltimore city","MD","Evergreen Health Cooperative Inc.",72564
2016,"24510","Baltimore city","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24510","Baltimore city","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
