"year","state_code","fips_county","county_name","issuer_name","issuer_id","rating_area","plans"
2017,"CO","08027","Custer","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08029","Delta","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08031","Denver","Bright Health Plan",31070,3,6
2017,"CO","08031","Denver","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08031","Denver","Denver Health Medical Plan, Inc.",66699,3,7
2017,"CO","08031","Denver","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08031","Denver","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08033","Dolores","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08035","Douglas","Bright Health Plan",31070,3,6
2017,"CO","08035","Douglas","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08035","Douglas","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08035","Douglas","Kaiser Foundation Health Plan of Colorado",21032,3,20
2017,"CO","08037","Eagle","Cigna Health and Life Insurance Company",49375,9,6
2017,"CO","08037","Eagle","HMO Colorado Inc(Anthem BCBS)",76680,9,19
2017,"CO","08037","Eagle","Kaiser Foundation Health Plan of Colorado",21032,9,10
2017,"CO","08039","Elbert","Colorado Choice Health Plans",63312,3,15
2017,"CO","08039","Elbert","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08039","Elbert","Kaiser Foundation Health Plan of Colorado",21032,3,20
2017,"CO","08041","ElPaso","Bright Health Plan",31070,2,6
2017,"CO","08041","ElPaso","Cigna Health and Life Insurance Company",49375,2,6
2017,"CO","08041","ElPaso","Colorado Choice Health Plans",63312,2,15
2017,"CO","08041","ElPaso","HMO Colorado Inc(Anthem BCBS)",76680,2,15
2017,"CO","08041","ElPaso","Kaiser Foundation Health Plan of Colorado",21032,2,20
2017,"CO","08043","Fremont","Colorado Choice Health Plans",63312,8,15
2017,"CO","08043","Fremont","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08043","Fremont","Kaiser Foundation Health Plan of Colorado",21032,8,20
2017,"CO","08045","Garfield","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08045","Garfield","Kaiser Foundation Health Plan of Colorado",21032,9,10
2017,"CO","08047","Gilpin","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08047","Gilpin","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08049","Grand","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08049","Grand","Kaiser Foundation Health Plan of Colorado",21032,9,10
2017,"CO","08051","Gunnison","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08053","Hinsdale","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08055","Huerfano","Colorado Choice Health Plans",63312,8,15
2017,"CO","08055","Huerfano","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08055","Huerfano","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08057","Jackson","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08059","Jefferson","Bright Health Plan",31070,3,6
2017,"CO","08059","Jefferson","Cigna Health and Life Insurance Company",49375,3,15
2017,"CO","08059","Jefferson","Denver Health Medical Plan, Inc.",66699,3,7
2017,"CO","08059","Jefferson","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08059","Jefferson","Kaiser Foundation Health Plan of Colorado",21032,3,10
2017,"CO","08061","Kiowa","Colorado Choice Health Plans",63312,8,15
2017,"CO","08061","Kiowa","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08063","KitCarson","Colorado Choice Health Plans",63312,8,15
2017,"CO","08063","KitCarson","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08065","Lake","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08067","LaPlata","Cigna Health and Life Insurance Company",49375,9,6
2017,"CO","08067","LaPlata","HMO Colorado Inc(Anthem BCBS)",76680,9,19
2017,"CO","08069","Larimer","Cigna Health and Life Insurance Company",49375,4,6
2017,"CO","08069","Larimer","Colorado Choice Health Plans",63312,4,15
2017,"CO","08069","Larimer","HMO Colorado Inc(Anthem BCBS)",76680,4,15
2017,"CO","08069","Larimer","Kaiser Foundation Health Plan of Colorado",21032,4,20
2017,"CO","08071","LasAnimas","Colorado Choice Health Plans",63312,8,15
2017,"CO","08071","LasAnimas","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08071","LasAnimas","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08073","Lincoln","Colorado Choice Health Plans",63312,8,15
2017,"CO","08073","Lincoln","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08073","Lincoln","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08075","Logan","Colorado Choice Health Plans",63312,8,15
2017,"CO","08075","Logan","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08077","Mesa","HMO Colorado Inc(Anthem BCBS)",76680,5,15
2017,"CO","08077","Mesa","Rocky Mountain HMO",97879,5,5
2017,"CO","08079","Mineral","Colorado Choice Health Plans",63312,8,15
2017,"CO","08079","Mineral","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08081","Moffat","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08083","Montezuma","Cigna Health and Life Insurance Company",49375,9,6
2017,"CO","08083","Montezuma","HMO Colorado Inc(Anthem BCBS)",76680,9,19
2017,"CO","08085","Montrose","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08087","Morgan","Colorado Choice Health Plans",63312,8,15
2017,"CO","08087","Morgan","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08087","Morgan","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08089","Otero","Colorado Choice Health Plans",63312,8,15
2017,"CO","08089","Otero","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08089","Otero","Kaiser Foundation Health Plan of Colorado",21032,8,10
2017,"CO","08091","Ouray","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08093","Park","HMO Colorado Inc(Anthem BCBS)",76680,3,15
2017,"CO","08093","Park","Kaiser Foundation Health Plan of Colorado",21032,3,20
2017,"CO","08095","Phillips","Colorado Choice Health Plans",63312,8,15
2017,"CO","08095","Phillips","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08097","Pitkin","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08099","Prowers","Colorado Choice Health Plans",63312,8,15
2017,"CO","08099","Prowers","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08101","Pueblo","HMO Colorado Inc(Anthem BCBS)",76680,7,15
2017,"CO","08101","Pueblo","Kaiser Foundation Health Plan of Colorado",21032,7,20
2017,"CO","08103","RioBlanco","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08105","RioGrande","Colorado Choice Health Plans",63312,8,15
2017,"CO","08105","RioGrande","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08107","Routt","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08107","Routt","Kaiser Foundation Health Plan of Colorado",21032,9,10
2017,"CO","08109","Saguache","Colorado Choice Health Plans",63312,8,15
2017,"CO","08109","Saguache","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08111","SanJuan","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08113","SanMiguel","HMO Colorado Inc(Anthem BCBS)",76680,9,15
2017,"CO","08115","Sedgwick","Colorado Choice Health Plans",63312,8,15
2017,"CO","08115","Sedgwick","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08117","Summit","Bright Health Plan",31070,9,6
2017,"CO","08117","Summit","Cigna Health and Life Insurance Company",49375,9,6
2017,"CO","08117","Summit","HMO Colorado Inc(Anthem BCBS)",76680,9,19
2017,"CO","08117","Summit","Kaiser Foundation Health Plan of Colorado",21032,9,10
2017,"CO","08119","Teller","HMO Colorado Inc(Anthem BCBS)",76680,2,15
2017,"CO","08119","Teller","Kaiser Foundation Health Plan of Colorado",21032,2,20
2017,"CO","08121","Washington","Colorado Choice Health Plans",63312,8,15
2017,"CO","08121","Washington","HMO Colorado Inc(Anthem BCBS)",76680,8,15
2017,"CO","08123","Weld","Cigna Health and Life Insurance Company",49375,6,6
2017,"CO","08123","Weld","Colorado Choice Health Plans",63312,6,15
2017,"CO","08123","Weld","HMO Colorado Inc(Anthem BCBS)",76680,6,15
2017,"CO","08123","Weld","Kaiser Foundation Health Plan of Colorado",21032,6,20
2017,"CO","08125","Yuma","Colorado Choice Health Plans",63312,8,15
2017,"CO","08125","Yuma","HMO Colorado Inc(Anthem BCBS)",76680,8,15
