"year","fips_county","county_name","rating_area","issuer_name","state_code"
2017,"06077","San Joaquin",10,"Kaiser Permanente","CA"
2017,"06079","San Luis Obispo",12,"Anthem","CA"
2017,"06079","San Luis Obispo",12,"Blue Shield","CA"
2017,"06081","San Mateo",8,"Anthem","CA"
2017,"06081","San Mateo",8,"Blue Shield","CA"
2017,"06081","San Mateo",8,"CCHP","CA"
2017,"06081","San Mateo",8,"HealthNet Life","CA"
2017,"06081","San Mateo",8,"Kaiser Permanente","CA"
2017,"06083","Santa Barbara",12,"Anthem","CA"
2017,"06083","Santa Barbara",12,"Blue Shield","CA"
2017,"06085","Santa Clara",7,"Anthem","CA"
2017,"06085","Santa Clara",7,"Blue Shield","CA"
2017,"06085","Santa Clara",7,"HealthNet of CA","CA"
2017,"06085","Santa Clara",7,"Kaiser Permanente","CA"
2017,"06085","Santa Clara",7,"Valley Health Plan","CA"
2017,"06087","Santa Cruz",9,"Anthem","CA"
2017,"06087","Santa Cruz",9,"Blue Shield","CA"
2017,"06087","Santa Cruz",9,"HealthNet Life","CA"
2017,"06087","Santa Cruz",9,"Kaiser Permanente","CA"
2017,"06089","Shasta",1,"Anthem","CA"
2017,"06089","Shasta",1,"Blue Shield","CA"
2017,"06091","Sierra",1,"Anthem","CA"
2017,"06091","Sierra",1,"Blue Shield","CA"
2017,"06093","Siskiyou",1,"Anthem","CA"
2017,"06093","Siskiyou",1,"Blue Shield","CA"
2017,"06095","Solano",2,"Anthem","CA"
2017,"06095","Solano",2,"Blue Shield","CA"
2017,"06095","Solano",2,"HealthNet Life","CA"
2017,"06095","Solano",2,"Kaiser Permanente","CA"
2017,"06095","Solano",2,"Western Health Advantage","CA"
2017,"06097","Sonoma",2,"Anthem","CA"
2017,"06097","Sonoma",2,"Blue Shield","CA"
2017,"06097","Sonoma",2,"HealthNet Life","CA"
2017,"06097","Sonoma",2,"Kaiser Permanente","CA"
2017,"06097","Sonoma",2,"Western Health Advantage","CA"
2017,"06099","Stanislaus",10,"Anthem","CA"
2017,"06099","Stanislaus",10,"Blue Shield","CA"
2017,"06099","Stanislaus",10,"HealthNet Life","CA"
2017,"06099","Stanislaus",10,"Kaiser Permanente","CA"
2017,"06101","Sutter",1,"Anthem","CA"
2017,"06101","Sutter",1,"Blue Shield","CA"
2017,"06101","Sutter",1,"Kaiser Permanente","CA"
2017,"06103","Tehama",1,"Anthem","CA"
2017,"06103","Tehama",1,"Blue Shield","CA"
2017,"06105","Trinity",1,"Anthem","CA"
2017,"06105","Trinity",1,"Blue Shield","CA"
2017,"06107","Tulare",10,"Anthem","CA"
2017,"06107","Tulare",10,"Blue Shield","CA"
2017,"06107","Tulare",10,"HealthNet Life","CA"
2017,"06107","Tulare",10,"Kaiser Permanente","CA"
2017,"06109","Tuolumne",1,"Anthem","CA"
2017,"06109","Tuolumne",1,"Blue Shield","CA"
2017,"06111","Ventura",12,"Anthem","CA"
2017,"06111","Ventura",12,"Blue Shield","CA"
2017,"06111","Ventura",12,"Kaiser Permanente","CA"
2017,"06113","Yolo",3,"Anthem","CA"
2017,"06113","Yolo",3,"Blue Shield","CA"
2017,"06113","Yolo",3,"HealthNet of CA","CA"
2017,"06113","Yolo",3,"Kaiser Permanente","CA"
2017,"06113","Yolo",3,"Western Health Advantage","CA"
2017,"06115","Yuba",1,"Anthem","CA"
2017,"06115","Yuba",1,"Blue Shield","CA"
2017,"06115","Yuba",1,"Kaiser Permanente","CA"
