County FIPS Code,State,County Name,No CSR,Yes CSR,Total Plan Selections
31137,NE,Phelps County,260,202,462
31139,NE,Pierce County,179,178,357
31141,NE,Platte County,650,695,1345
31143,NE,Polk County,91,125,216
31145,NE,Red Willow County,259,259,518
31147,NE,Richardson County,164,194,358
31149,NE,Rock County,60,61,121
31151,NE,Saline County,188,185,373
31153,NE,Sarpy County,2633,2217,4850
31155,NE,Saunders County,526,500,1026
31157,NE,Scotts Bluff County,914,1211,2125
31159,NE,Seward County,297,297,594
31161,NE,Sheridan County,177,155,332
31163,NE,Sherman County,66,122,188
31165,NE,Sioux County,35,34,69
31167,NE,Stanton County,173,178,351
31169,NE,Thayer County,106,156,262
31171,NE,Thomas County,57,58,115
31173,NE,Thurston County,69,51,120
31175,NE,Valley County,184,216,400
31177,NE,Washington County,409,317,726
31179,NE,Wayne County,160,165,325
31181,NE,Webster County,67,133,200
31183,NE,Wheeler County,32,61,93
31185,NE,York County,233,296,529
33001,NH,Belknap County,1801,991,2792
33003,NH,Carroll County,2226,1616,3842
33005,NH,Cheshire County,2041,1247,3288
33007,NH,Coos County,831,710,1541
33009,NH,Grafton County,2457,1421,3878
33011,NH,Hillsborough County,9011,5435,14446
33013,NH,Merrimack County,3267,1756,5023
33015,NH,Rockingham County,8156,4419,12575
33017,NH,Strafford County,2716,1609,4325
33019,NH,Sullivan County,783,510,1293
34001,NJ,Atlantic County,4121,5062,9183
34003,NJ,Bergen County,15952,16258,32210
34005,NJ,Burlington County,6166,5586,11752
34007,NJ,Camden County,7155,7820,14975
34009,NJ,Cape May County,1875,1706,3581
34011,NJ,Cumberland County,1252,1532,2784
34013,NJ,Essex County,9686,11292,20978
34015,NJ,Gloucester County,4011,3836,7847
34017,NJ,Hudson County,8512,10710,19222
34019,NJ,Hunterdon County,2281,1679,3960
34021,NJ,Mercer County,4539,3957,8496
34023,NJ,Middlesex County,11601,12357,23958
34025,NJ,Monmouth County,9748,8460,18208
34027,NJ,Morris County,7528,6013,13541
34029,NJ,Ocean County,7465,8120,15585
34031,NJ,Passaic County,6228,8560,14788
34033,NJ,Salem County,636,709,1345
34035,NJ,Somerset County,4929,4056,8985
34037,NJ,Sussex County,2265,2168,4433
34039,NJ,Union County,6721,8769,15490
34041,NJ,Warren County,1558,1419,2977
35001,NM,Bernalillo County,9445,8014,17459
35003,NM,Catron County,60,75,135
35005,NM,Chaves County,671,892,1563
35006,NM,Cibola County,145,181,326
35007,NM,Colfax County,232,189,421
35009,NM,Curry County,653,612,1265
35011,NM,De Baca County, . , . ,84
35013,NM,Dona Ana County,2715,2966,5681
35015,NM,Eddy County,823,532,1355
35017,NM,Grant County,382,384,766
35019,NM,Guadalupe County,52,64,116
35021,NM,Harding County, . , . ,13
35023,NM,Hidalgo County,52,58,110
35025,NM,Lea County,757,546,1303
35027,NM,Lincoln County,403,396,799
35028,NM,Los Alamos County,192,108,300
35029,NM,Luna County,224,279,503
35031,NM,McKinley County,240,387,627
35033,NM,Mora County,74,73,147
35035,NM,Otero County,537,603,1140
35037,NM,Quay County,90,109,199
35039,NM,Rio Arriba County,408,437,845
35041,NM,Roosevelt County,187,209,396
35043,NM,Sandoval County,1674,1471,3145
35045,NM,San Juan County,765,713,1478
35047,NM,San Miguel County,290,292,582
35049,NM,Santa Fe County,4312,3036,7348
35051,NM,Sierra County,109,133,242
35053,NM,Socorro County,164,189,353
35055,NM,Taos County,912,849,1761
35057,NM,Torrance County,200,180,380
35059,NM,Union County,63,53,116
35061,NM,Valencia County,666,730,1396
32001,NV,Churchill County,254,364,618
32003,NV,Clark County,21383,29976,51359
32005,NV,Douglas County,1214,971,2185
32007,NV,Elko County,456,326,782
32009,NV,Esmeralda County, . , . ,15
32011,NV,Eureka County, . , . ,36
32013,NV,Humboldt County,181,212,393
32015,NV,Lander County,72,71,143
32017,NV,Lincoln County,31,19,50
32019,NV,Lyon County,715,669,1384
32021,NV,Mineral County,27,32,59
32023,NV,Nye County,401,405,806
32027,NV,Pershing County,60,57,117
32029,NV,Storey County,112,71,183
32031,NV,Washoe County,7141,6577,13718
32033,NV,White Pine County,84,74,158
32510,NV,Carson City,873,717,1590
39001,OH,Adams County,298,249,547
39003,OH,Allen County,987,632,1619
39005,OH,Ashland County,688,428,1116
39007,OH,Ashtabula County,1307,1021,2328
39009,OH,Athens County,665,453,1118
39011,OH,Auglaize County,483,305,788
39013,OH,Belmont County,749,526,1275
39015,OH,Brown County,470,440,910
39017,OH,Butler County,4081,3411,7492
39019,OH,Carroll County,268,249,517
39021,OH,Champaign County,362,232,594
39023,OH,Clark County,1049,976,2025
39025,OH,Clermont County,2838,2001,4839
39027,OH,Clinton County,497,345,842
39029,OH,Columbiana County,1258,1134,2392
39031,OH,Coshocton County,428,338,766
39033,OH,Crawford County,455,308,763
39035,OH,Cuyahoga County,16338,11730,28068
39037,OH,Darke County,641,350,991
39039,OH,Defiance County,338,214,552
39041,OH,Delaware County,2141,1292,3433
39043,OH,Erie County,814,703,1517
39045,OH,Fairfield County,1408,1132,2540
39047,OH,Fayette County,229,202,431
39049,OH,Franklin County,14360,11608,25968
39051,OH,Fulton County,471,327,798
39053,OH,Gallia County,233,176,409
39055,OH,Geauga County,1705,1040,2745
39057,OH,Greene County,1449,1122,2571
39059,OH,Guernsey County,376,292,668
39061,OH,Hamilton County,9795,8099,17894
39063,OH,Hancock County,735,520,1255
39065,OH,Hardin County,217,214,431
39067,OH,Harrison County,146,131,277
39069,OH,Henry County,331,222,553
39071,OH,Highland County,467,328,795
39073,OH,Hocking County,337,252,589
39075,OH,Holmes County,294,222,516
39077,OH,Huron County,551,420,971
39079,OH,Jackson County,292,178,470
39081,OH,Jefferson County,886,593,1479
39083,OH,Knox County,670,502,1172
39085,OH,Lake County,3514,2412,5926
39087,OH,Lawrence County,499,403,902
39089,OH,Licking County,1676,1223,2899
39091,OH,Logan County,407,307,714
39093,OH,Lorain County,3620,2519,6139
39095,OH,Lucas County,4026,3618,7644
39097,OH,Madison County,351,285,636
39099,OH,Mahoning County,3164,2516,5680
39101,OH,Marion County,394,338,732
39103,OH,Medina County,2498,1701,4199
39105,OH,Meigs County,250,172,422
39107,OH,Mercer County,493,280,773
39109,OH,Miami County,1131,878,2009
39111,OH,Monroe County,193,138,331
39113,OH,Montgomery County,4960,5061,10021
39115,OH,Morgan County,164,112,276
39117,OH,Morrow County,331,282,613
39119,OH,Muskingum County,964,661,1625
39121,OH,Noble County,141,102,243
39123,OH,Ottawa County,536,379,915
39125,OH,Paulding County,203,155,358
39127,OH,Perry County,329,287,616
39129,OH,Pickaway County,453,328,781
39131,OH,Pike County,180,200,380
39133,OH,Portage County,1952,1463,3415
39135,OH,Preble County,433,310,743
39137,OH,Putnam County,297,173,470
39139,OH,Richland County,1190,870,2060
39141,OH,Ross County,732,525,1257
39143,OH,Sandusky County,571,434,1005
39145,OH,Scioto County,560,520,1080
39147,OH,Seneca County,514,403,917
39149,OH,Shelby County,435,340,775
39151,OH,Stark County,3970,3825,7795
39153,OH,Summit County,7718,5636,13354
39155,OH,Trumbull County,2910,2296,5206
39157,OH,Tuscarawas County,638,891,1529
39159,OH,Union County,453,319,772
39161,OH,Van Wert County,354,196,550
39163,OH,Vinton County,121,62,183
39165,OH,Warren County,2709,1993,4702
39167,OH,Washington County,967,561,1528
39169,OH,Wayne County,1183,905,2088
39171,OH,Williams County,306,278,584
39173,OH,Wood County,1197,872,2069
39175,OH,Wyandot County,247,135,382
40001,OK,Adair County,177,277,454
40003,OK,Alfalfa County,67,97,164
40005,OK,Atoka County,147,215,362
40007,OK,Beaver County,69,85,154
40009,OK,Beckham County,256,400,656
40011,OK,Blaine County,109,169,278
40013,OK,Bryan County,396,649,1045
40015,OK,Caddo County,311,430,741
40017,OK,Canadian County,2014,2379,4393
40019,OK,Carter County,539,688,1227
40021,OK,Cherokee County,425,748,1173
40023,OK,Choctaw County,151,329,480
40025,OK,Cimarron County,29,52,81
40027,OK,Cleveland County,4452,5198,9650
40029,OK,Coal County,48,58,106
40031,OK,Comanche County,1167,1795,2962
40033,OK,Cotton County,55,80,135
40035,OK,Craig County,156,361,517
40037,OK,Creek County,787,1364,2151
40039,OK,Custer County,379,464,843
40041,OK,Delaware County,528,911,1439
40043,OK,Dewey County,60,85,145
40045,OK,Ellis County,57,69,126
40047,OK,Garfield County,795,1169,1964
40049,OK,Garvin County,341,635,976
40051,OK,Grady County,758,1026,1784
40053,OK,Grant County,88,92,180
40055,OK,Greer County,57,101,158
40057,OK,Harmon County,21,57,78
40059,OK,Harper County,54,72,126
40061,OK,Haskell County,168,350,518
40063,OK,Hughes County,164,221,385
40065,OK,Jackson County,194,360,554
40067,OK,Jefferson County,62,114,176
40069,OK,Johnston County,95,167,262
40071,OK,Kay County,517,565,1082
40073,OK,Kingfisher County,248,328,576
40075,OK,Kiowa County,87,147,234
40077,OK,Latimer County,127,218,345
40079,OK,Le Flore County,479,1241,1720
40081,OK,Lincoln County,457,711,1168
40083,OK,Logan County,813,991,1804
40085,OK,Love County,106,139,245
40087,OK,McClain County,573,763,1336
40089,OK,McCurtain County,339,569,908
40091,OK,McIntosh County,284,548,832
40093,OK,Major County,114,123,237
40095,OK,Marshall County,133,205,338
40097,OK,Mayes County,377,684,1061
40099,OK,Murray County,111,168,279
40101,OK,Muskogee County,653,1254,1907
40103,OK,Noble County,106,179,285
40105,OK,Nowata County,116,207,323
40107,OK,Okfuskee County,85,227,312
40109,OK,Oklahoma County,12796,17533,30329
40111,OK,Okmulgee County,389,646,1035
40113,OK,Osage County,548,853,1401
40115,OK,Ottawa County,265,491,756
40117,OK,Pawnee County,208,270,478
40119,OK,Payne County,1015,1285,2300
40121,OK,Pittsburg County,424,749,1173
40123,OK,Pontotoc County,462,525,987
40125,OK,Pottawatomie County,735,1202,1937
40127,OK,Pushmataha County,105,284,389
40129,OK,Roger Mills County,41,58,99
40131,OK,Rogers County,1014,1533,2547
40133,OK,Seminole County,256,467,723
40135,OK,Sequoyah County,341,725,1066
40137,OK,Stephens County,543,722,1265
40139,OK,Texas County,165,332,497
40141,OK,Tillman County,65,132,197
40143,OK,Tulsa County,9423,13064,22487
40145,OK,Wagoner County,936,1435,2371
40147,OK,Washington County,599,842,1441
40149,OK,Washita County,151,208,359
40151,OK,Woods County,92,142,234
40153,OK,Woodward County,235,369,604
41001,OR,Baker County,212,206,418
41003,OR,Benton County,1182,870,2052
41005,OR,Clackamas County,5681,4895,10576
41007,OR,Clatsop County,749,620,1369
41009,OR,Columbia County,592,507,1099
41011,OR,Coos County,793,915,1708
41013,OR,Crook County,314,315,629
41015,OR,Curry County,444,381,825
41017,OR,Deschutes County,4594,3475,8069
41019,OR,Douglas County,1136,1108,2244
41021,OR,Gilliam County,26,18,44
41023,OR,Grant County,81,78,159
41025,OR,Harney County,106,128,234
41027,OR,Hood River County,724,435,1159
41029,OR,Jackson County,3496,3208,6704
41031,OR,Jefferson County,243,250,493
41033,OR,Josephine County,1373,1336,2709
41035,OR,Klamath County,724,682,1406
41037,OR,Lake County,112,91,203
41039,OR,Lane County,5342,4855,10197
41041,OR,Lincoln County,930,827,1757
41043,OR,Linn County,1310,1312,2622
41045,OR,Malheur County,287,340,627
41047,OR,Marion County,3509,3118,6627
41049,OR,Morrow County,70,75,145
41051,OR,Multnomah County,14146,11995,26141
41053,OR,Polk County,871,762,1633
41055,OR,Sherman County,24,19,43
41057,OR,Tillamook County,454,389,843
41059,OR,Umatilla County,624,673,1297
41061,OR,Union County,445,344,789
41063,OR,Wallowa County,242,195,437
41065,OR,Wasco County,399,342,741
41067,OR,Washington County,7435,6294,13729
41069,OR,Wheeler County,15,16,31
41071,OR,Yamhill County,1207,1056,2263
42001,PA,Adams County,1531,1930,3461
42003,PA,Allegheny County,19661,23123,42784
42005,PA,Armstrong County,795,1198,1993
42007,PA,Beaver County,2298,2974,5272
42009,PA,Bedford County,731,1002,1733
42011,PA,Berks County,6557,7674,14231
42013,PA,Blair County,1464,1808,3272
42015,PA,Bradford County,797,815,1612
42017,PA,Bucks County,15857,17500,33357
42019,PA,Butler County,2665,2845,5510
42021,PA,Cambria County,1883,2713,4596
42023,PA,Cameron County,67,75,142
42025,PA,Carbon County,971,1377,2348
42027,PA,Centre County,1563,1737,3300
42029,PA,Chester County,11049,10000,21049
42031,PA,Clarion County,552,995,1547
42033,PA,Clearfield County,1037,1424,2461
42035,PA,Clinton County,372,421,793
42037,PA,Columbia County,657,1034,1691
42039,PA,Crawford County,824,1280,2104
42041,PA,Cumberland County,3284,3917,7201
42043,PA,Dauphin County,3461,4417,7878
42045,PA,Delaware County,12187,16165,28352
42047,PA,Elk County,446,529,975
42049,PA,Erie County,2697,4401,7098
42051,PA,Fayette County,1820,3121,4941
42053,PA,Forest County,51,104,155
42055,PA,Franklin County,1832,2302,4134
42057,PA,Fulton County,160,243,403
42059,PA,Greene County,423,479,902
42061,PA,Huntingdon County,557,768,1325
42063,PA,Indiana County,978,1283,2261
42065,PA,Jefferson County,619,761,1380
42067,PA,Juniata County,237,417,654
42069,PA,Lackawanna County,2854,4213,7067
42071,PA,Lancaster County,8466,9288,17754
42073,PA,Lawrence County,1074,1533,2607
42075,PA,Lebanon County,1667,2015,3682
42077,PA,Lehigh County,5524,8189,13713
42079,PA,Luzerne County,3720,5783,9503
42081,PA,Lycoming County,1287,1606,2893
42083,PA,McKean County,398,512,910
42085,PA,Mercer County,1117,1678,2795
42087,PA,Mifflin County,417,651,1068
42089,PA,Monroe County,2833,3827,6660
42091,PA,Montgomery County,19078,20621,39699
42093,PA,Montour County,150,180,330
42095,PA,Northampton County,5111,6237,11348
42097,PA,Northumberland County,910,1268,2178
42099,PA,Perry County,648,873,1521
42101,PA,Philadelphia County,25999,49084,75083
42103,PA,Pike County,975,1249,2224
42105,PA,Potter County,242,297,539
42107,PA,Schuylkill County,1628,2331,3959
42109,PA,Snyder County,419,677,1096
42111,PA,Somerset County,1045,1809,2854
42113,PA,Sullivan County,91,130,221
42115,PA,Susquehanna County,740,936,1676
42117,PA,Tioga County,443,542,985
42119,PA,Union County,373,543,916
42121,PA,Venango County,616,1038,1654
42123,PA,Warren County,431,616,1047
42125,PA,Washington County,3097,3508,6605
42127,PA,Wayne County,893,1256,2149
42129,PA,Westmoreland County,5310,6672,11982
42131,PA,Wyoming County,481,540,1021
42133,PA,York County,6229,7796,14025
45001,SC,Abbeville County,204,636,840
45003,SC,Aiken County,1715,3949,5664
45005,SC,Allendale County,55,195,250
45007,SC,Anderson County,2664,5286,7950
45009,SC,Bamberg County,149,314,463
45011,SC,Barnwell County,185,488,673
45013,SC,Beaufort County,3431,4594,8025
45015,SC,Berkeley County,3127,4600,7727
45017,SC,Calhoun County,187,386,573
45019,SC,Charleston County,9716,11357,21073
45021,SC,Cherokee County,468,1096,1564
45023,SC,Chester County,379,852,1231
45025,SC,Chesterfield County,487,1028,1515
45027,SC,Clarendon County,354,857,1211
45029,SC,Colleton County,661,1734,2395
45031,SC,Darlington County,786,1773,2559
45033,SC,Dillon County,358,871,1229
45035,SC,Dorchester County,2491,3621,6112
45037,SC,Edgefield County,236,559,795
45039,SC,Fairfield County,340,608,948
45041,SC,Florence County,1901,4232,6133
45043,SC,Georgetown County,1189,2037,3226
45045,SC,Greenville County,9542,14556,24098
45047,SC,Greenwood County,630,1893,2523
45049,SC,Hampton County,256,590,846
45051,SC,Horry County,6210,12463,18673
45053,SC,Jasper County,446,784,1230
45055,SC,Kershaw County,1046,1758,2804
45057,SC,Lancaster County,1225,2246,3471
45059,SC,Laurens County,672,1489,2161
45061,SC,Lee County,247,498,745
45063,SC,Lexington County,4673,6301,10974
45065,SC,McCormick County,90,209,299
45067,SC,Marion County,383,1145,1528
45069,SC,Marlboro County,220,642,862
45071,SC,Newberry County,451,729,1180
45073,SC,Oconee County,1006,1718,2724
45075,SC,Orangeburg County,1269,2791,4060
45077,SC,Pickens County,1775,3319,5094
45079,SC,Richland County,6558,10104,16662
45081,SC,Saluda County,172,386,558
45083,SC,Spartanburg County,4158,6632,10790
45085,SC,Sumter County,1354,2288,3642
45087,SC,Union County,196,459,655
45089,SC,Williamsburg County,426,1147,1573
45091,SC,York County,4212,6803,11015
46003,SD,Aurora County,25,78,103
46005,SD,Beadle County,158,256,414
46007,SD,Bennett County, . , . ,46
46009,SD,Bon Homme County,50,87,137
46011,SD,Brookings County,281,500,781
46013,SD,Brown County,253,513,766
46015,SD,Brule County,40,111,151
46017,SD,Buffalo County, . , . ,14
46019,SD,Butte County,92,167,259
46021,SD,Campbell County,14,21,35
46023,SD,Charles Mix County,67,155,222
46025,SD,Clark County,64,159,223
46027,SD,Clay County,165,216,381
46029,SD,Codington County,325,705,1030
46031,SD,Corson County,12,26,38
46033,SD,Custer County,96,139,235
46035,SD,Davison County,104,293,397
46037,SD,Day County,76,230,306
46039,SD,Deuel County,40,101,141
46041,SD,Dewey County,16,35,51
46043,SD,Douglas County,29,62,91
46045,SD,Edmunds County,42,53,95
46047,SD,Fall River County,67,102,169
46049,SD,Faulk County,25,39,64
46051,SD,Grant County,87,118,205
46053,SD,Gregory County,73,181,254
46055,SD,Haakon County, . , . ,39
46057,SD,Hamlin County,69,167,236
46059,SD,Hand County,28,34,62
46061,SD,Hanson County,34,28,62
46063,SD,Harding County,16,11,27
46065,SD,Hughes County,97,280,377
46067,SD,Hutchinson County,93,128,221
46069,SD,Hyde County,13,37,50
46071,SD,Jackson County, . , . ,68
46073,SD,Jerauld County,22,41,63
46075,SD,Jones County,21,30,51
46077,SD,Kingsbury County,63,127,190
46079,SD,Lake County,148,221,369
46081,SD,Lawrence County,303,438,741
46083,SD,Lincoln County,501,607,1108
46085,SD,Lyman County,26,61,87
46087,SD,McCook County,62,82,144
46089,SD,McPherson County,24,36,60
46091,SD,Marshall County,46,68,114
46093,SD,Meade County,255,385,640
46095,SD,Mellette County, . , . ,45
46097,SD,Miner County,20,24,44
46099,SD,Minnehaha County,1908,2862,4770
46101,SD,Moody County,75,80,155
46103,SD,Pennington County,887,1538,2425
46105,SD,Perkins County,36,69,105
46107,SD,Potter County,47,61,108
46109,SD,Roberts County,63,100,163
46111,SD,Sanborn County,24,77,101
46113,SD,Shannon County,16,241,257
46115,SD,Spink County,65,108,173
46117,SD,Stanley County,20,66,86
46119,SD,Sully County,13,39,52
46121,SD,Todd County,11,74,85
46123,SD,Tripp County,49,127,176
46125,SD,Turner County,91,167,258
46127,SD,Union County,158,217,375
46129,SD,Walworth County,50,79,129
46135,SD,Yankton County,227,318,545
46137,SD,Ziebach County, . , . ,17
47001,TN,Anderson County,872,1621,2493
47003,TN,Bedford County,505,908,1413
47005,TN,Benton County,196,407,603
47007,TN,Bledsoe County,85,231,316
47009,TN,Blount County,1604,2733,4337
47011,TN,Bradley County,1199,2419,3618
47013,TN,Campbell County,383,845,1228
47015,TN,Cannon County,153,271,424
47017,TN,Carroll County,272,602,874
47019,TN,Carter County,655,1319,1974
47021,TN,Cheatham County,656,904,1560
47023,TN,Chester County,173,332,505
47025,TN,Claiborne County,307,733,1040
47027,TN,Clay County,131,300,431
47029,TN,Cocke County,381,974,1355
47031,TN,Coffee County,645,1118,1763
47033,TN,Crockett County,164,344,508
47035,TN,Cumberland County,628,1051,1679
47037,TN,Davidson County,13707,17979,31686
47039,TN,Decatur County,180,388,568
47041,TN,DeKalb County,199,437,636
47043,TN,Dickson County,634,1213,1847
47045,TN,Dyer County,373,839,1212
47047,TN,Fayette County,502,809,1311
47049,TN,Fentress County,170,418,588
47051,TN,Franklin County,422,833,1255
47053,TN,Gibson County,514,1103,1617
47055,TN,Giles County,341,708,1049
47057,TN,Grainger County,215,615,830
47059,TN,Greene County,651,1551,2202
47061,TN,Grundy County,156,390,546
47063,TN,Hamblen County,683,1352,2035
47065,TN,Hamilton County,5084,8398,13482
47067,TN,Hancock County,40,248,288
47069,TN,Hardeman County,233,467,700
47071,TN,Hardin County,337,665,1002
47073,TN,Hawkins County,454,1246,1700
47075,TN,Haywood County,198,389,587
47077,TN,Henderson County,345,728,1073
47079,TN,Henry County,393,720,1113
47081,TN,Hickman County,398,661,1059
47083,TN,Houston County,62,165,227
47085,TN,Humphreys County,197,406,603
47087,TN,Jackson County,164,314,478
47089,TN,Jefferson County,581,1213,1794
47091,TN,Johnson County,153,366,519
47093,TN,Knox County,6426,10138,16564
47095,TN,Lake County,63,112,175
47097,TN,Lauderdale County,203,431,634
47099,TN,Lawrence County,523,1182,1705
47101,TN,Lewis County,192,367,559
47103,TN,Lincoln County,383,788,1171
47105,TN,Loudon County,612,1020,1632
47107,TN,McMinn County,476,1044,1520
47109,TN,McNairy County,254,598,852
47111,TN,Macon County,265,571,836
47113,TN,Madison County,1161,2168,3329
47115,TN,Marion County,289,656,945
47117,TN,Marshall County,368,608,976
47119,TN,Maury County,1169,1876,3045
47121,TN,Meigs County,91,250,341
47123,TN,Monroe County,415,957,1372
47125,TN,Montgomery County,1724,2385,4109
47127,TN,Moore County,57,123,180
47129,TN,Morgan County,137,310,447
47131,TN,Obion County,266,604,870
47133,TN,Overton County,260,576,836
47135,TN,Perry County,121,214,335
47137,TN,Pickett County,73,196,269
47139,TN,Polk County,187,470,657
47141,TN,Putnam County,1027,1798,2825
47143,TN,Rhea County,294,570,864
47145,TN,Roane County,470,923,1393
47147,TN,Robertson County,989,1262,2251
47149,TN,Rutherford County,3765,5133,8898
47151,TN,Scott County,199,497,696
47153,TN,Sequatchie County,151,331,482
47155,TN,Sevier County,1603,3228,4831
47157,TN,Shelby County,11730,20050,31780
47159,TN,Smith County,221,417,638
47161,TN,Stewart County,142,284,426
47163,TN,Sullivan County,1835,3566,5401
47165,TN,Sumner County,2459,3043,5502
47167,TN,Tipton County,562,903,1465
47169,TN,Trousdale County,102,184,286
47171,TN,Unicoi County,154,406,560
47173,TN,Union County,171,451,622
47175,TN,Van Buren County,72,166,238
47177,TN,Warren County,469,1041,1510
47179,TN,Washington County,1634,2937,4571
47181,TN,Wayne County,233,561,794
47183,TN,Weakley County,291,505,796
47185,TN,White County,370,814,1184
47187,TN,Williamson County,4308,3337,7645
47189,TN,Wilson County,1960,2317,4277
48001,TX,Anderson County,499,716,1215
48003,TX,Andrews County,256,169,425
48005,TX,Angelina County,983,1453,2436
48007,TX,Aransas County,449,765,1214
48009,TX,Archer County,146,122,268
48011,TX,Armstrong County,19,16,35
48013,TX,Atascosa County,802,1499,2301
48015,TX,Austin County,569,637,1206
48017,TX,Bailey County,111,152,263
48019,TX,Bandera County,400,473,873
48021,TX,Bastrop County,1489,2029,3518
48023,TX,Baylor County,50,30,80
48025,TX,Bee County,288,501,789
48027,TX,Bell County,3066,4593,7659
48029,TX,Bexar County,29348,64745,94093
48031,TX,Blanco County,235,312,547
48033,TX,Borden County, . , . ,12
48035,TX,Bosque County,323,407,730
48037,TX,Bowie County,931,1571,2502
48039,TX,Brazoria County,5931,6937,12868
48041,TX,Brazos County,2087,2818,4905
48043,TX,Brewster County,208,265,473
48045,TX,Briscoe County,19,32,51
48047,TX,Brooks County,125,289,414
48049,TX,Brown County,433,573,1006
48051,TX,Burleson County,220,312,532
48053,TX,Burnet County,884,1217,2101
48055,TX,Caldwell County,626,970,1596
48057,TX,Calhoun County,325,368,693
48059,TX,Callahan County,161,184,345
48061,TX,Cameron County,5881,12375,18256
48063,TX,Camp County,143,283,426
48065,TX,Carson County,59,73,132
48067,TX,Cass County,388,550,938
48069,TX,Castro County,108,145,253
48071,TX,Chambers County,465,544,1009
48073,TX,Cherokee County,494,896,1390
48075,TX,Childress County,68,89,157
48077,TX,Clay County,160,146,306
48079,TX,Cochran County,45,37,82
48081,TX,Coke County,42,30,72
48083,TX,Coleman County,120,166,286
48085,TX,Collin County,23096,22774,45870
48087,TX,Collingsworth County,23,39,62
48089,TX,Colorado County,382,620,1002
48091,TX,Comal County,2503,2923,5426
48093,TX,Comanche County,222,297,519
48095,TX,Concho County,52,43,95
48097,TX,Cooke County,523,638,1161
48099,TX,Coryell County,498,719,1217
48101,TX,Cottle County,11,27,38
48103,TX,Crane County,45,58,103
48105,TX,Crockett County,47,71,118
48107,TX,Crosby County,67,131,198
48109,TX,Culberson County,23,78,101
48111,TX,Dallam County,115,148,263
48113,TX,Dallas County,52770,75732,128502
48115,TX,Dawson County,147,198,345
48117,TX,Deaf Smith County,205,356,561
48119,TX,Delta County,66,68,134
48121,TX,Denton County,16883,17275,34158
48123,TX,DeWitt County,304,349,653
48125,TX,Dickens County,18,42,60
48127,TX,Dimmit County,141,319,460
48129,TX,Donley County,34,58,92
48131,TX,Duval County,129,218,347
48133,TX,Eastland County,279,304,583
48135,TX,Ector County,1996,2312,4308
48137,TX,Edwards County,28,62,90
48139,TX,Ellis County,2833,3502,6335
48141,TX,El Paso County,17789,37342,55131
48143,TX,Erath County,656,814,1470
48145,TX,Falls County,193,311,504
48147,TX,Fannin County,438,578,1016
48149,TX,Fayette County,412,480,892
48151,TX,Fisher County,56,55,111
48153,TX,Floyd County,57,151,208
48155,TX,Foard County,22,23,45
48157,TX,Fort Bend County,18774,23204,41978
48159,TX,Franklin County,164,268,432
48161,TX,Freestone County,224,321,545
48163,TX,Frio County,306,498,804
48165,TX,Gaines County,161,149,310
48167,TX,Galveston County,5905,7074,12979
48169,TX,Garza County,52,86,138
48171,TX,Gillespie County,752,762,1514
48173,TX,Glasscock County,16,32,48
48175,TX,Goliad County,79,139,218
48177,TX,Gonzales County,313,392,705
48179,TX,Gray County,227,283,510
48181,TX,Grayson County,1796,2301,4097
48183,TX,Gregg County,1719,2522,4241
48185,TX,Grimes County,357,444,801
48187,TX,Guadalupe County,2077,2688,4765
48189,TX,Hale County,322,620,942
48191,TX,Hall County,41,57,98
48193,TX,Hamilton County,133,206,339
48195,TX,Hansford County,86,87,173
48197,TX,Hardeman County,82,67,149
48199,TX,Hardin County,724,858,1582
48201,TX,Harris County,93710,133079,226789
48203,TX,Harrison County,843,1247,2090
48205,TX,Hartley County,65,80,145
48207,TX,Haskell County,125,117,242
48209,TX,Hays County,3993,4929,8922
48211,TX,Hemphill County,64,42,106
48213,TX,Henderson County,1292,1844,3136
48215,TX,Hidalgo County,10182,24874,35056
48217,TX,Hill County,552,784,1336
48219,TX,Hockley County,259,310,569
48221,TX,Hood County,1020,1368,2388
48223,TX,Hopkins County,490,735,1225
48225,TX,Houston County,198,323,521
48227,TX,Howard County,470,473,943
48229,TX,Hudspeth County,57,157,214
48231,TX,Hunt County,1518,1835,3353
48233,TX,Hutchinson County,238,250,488
48235,TX,Irion County,19,25,44
48237,TX,Jack County,123,130,253
48239,TX,Jackson County,199,261,460
48241,TX,Jasper County,481,948,1429
48243,TX,Jeff Davis County,44,52,96
48245,TX,Jefferson County,3371,5036,8407
48247,TX,Jim Hogg County,55,90,145
48249,TX,Jim Wells County,529,1061,1590
48251,TX,Johnson County,2791,3458,6249
48253,TX,Jones County,213,248,461
48255,TX,Karnes County,223,243,466
48257,TX,Kaufman County,2063,2545,4608
48259,TX,Kendall County,748,659,1407
48261,TX,Kenedy County, . , . ,13
48263,TX,Kent County, . , . ,26
48265,TX,Kerr County,964,1063,2027
48267,TX,Kimble County,68,80,148
48269,TX,King County, . , . , . 
48271,TX,Kinney County,45,43,88
48273,TX,Kleberg County,364,581,945
48275,TX,Knox County,56,87,143
48277,TX,Lamar County,671,841,1512
48279,TX,Lamb County,200,362,562
48281,TX,Lampasas County,250,307,557
48283,TX,La Salle County,120,167,287
48285,TX,Lavaca County,311,342,653
48287,TX,Lee County,268,336,604
48289,TX,Leon County,250,311,561
48291,TX,Liberty County,1049,1538,2587
48293,TX,Limestone County,273,383,656
48295,TX,Lipscomb County,33,29,62
48297,TX,Live Oak County,175,202,377
48299,TX,Llano County,425,488,913
