rating_area,county_name,fips_county,state_code,zip_tested,issuer_names
3,Payette County,16075,ID,83661,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Valley County,16085,ID,83611,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Washington County,16087,ID,83672,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Butte County,16023,ID,83213,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
4,Bonneville County,16019,ID,83402,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Clark County,16033,ID,83423,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Custer County,16037,ID,83227,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Fremont County,16043,ID,83445,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Jefferson County,16051,ID,83450,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Lemhi County,16059,ID,83467,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Madison County,16065,ID,83440,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
4,Teton County,16081,ID,83452,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
5,Blaine County,16013,ID,83313,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Camas County,16025,ID,83327,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Cassia County,16031,ID,83311,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Gooding County,16047,ID,83330,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Jerome County,16053,ID,83325,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Lincoln County,16063,ID,83324,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Minidoka County,16067,ID,83350,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
5,Twin Falls County,16083,ID,83301,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Bannock County,16005,ID,83250,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Bear Lake County,16007,ID,83254,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Bingham County,16011,ID,83236,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Caribou County,16029,ID,83276,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Franklin County,16041,ID,83263,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Oneida County,16071,ID,83243,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
6,Power County,16077,ID,83271,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
